id,cfdi_id,clave_prod_serv,no_identificacion,cantidad,clave_unidad,unidad,descripcion,valor_unitario,importe,descuento,objeto_impuesto,metadata,created_at,updated_at
224,212,53131624,000750194346217,2.000000,H87,PIEZAS,COTTONELLE,48.275862,96.55,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
225,212,47131816,000750649508357,1.000000,H87,PIEZAS,REP 2 FRUITY,77.586207,77.59,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
226,212,10191500,000750103293088,1.000000,H87,PIEZAS,AROMATIZANT,155.172414,155.17,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
227,212,47131500,000005114138478,2.000000,H87,PIEZAS,SB PA MICRO,14.655172,29.31,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
228,212,47121701,000750179161499,2.000000,H87,PIEZAS,GV BOLSA,30.172414,60.34,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
229,212,26111702,000888802120612,1.000000,H87,PIEZAS,ENERGIZ BP12,180.172414,180.17,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
230,212,47131800,000750303616546,2.000000,H87,PIEZAS,GLD ATAP SAN,193.103448,386.21,55.17,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
231,212,50192100,000750047803740,3.000000,H87,PIEZAS,TOSTITOS VDE,12.000000,36.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
232,212,50192100,000750047804230,2.000000,H87,PIEZAS,BOTANA CHUR,10.000000,20.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
233,212,50192100,000750047804530,3.000000,H87,PIEZAS,PAKETAXO,10.000000,30.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
234,212,50192100,000750047804531,2.000000,H87,PIEZAS,PAKETAXO,10.000000,20.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
235,212,50192100,000750047804602,1.000000,H87,PIEZAS,BOTANA CHEET,15.000000,15.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
236,212,50192100,000750047804586,2.000000,H87,PIEZAS,RANCHERITOS,10.000000,20.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
237,212,50192100,000750047803764,3.000000,H87,PIEZAS,CRUJITOS 35,9.000000,27.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
238,212,50192100,000750047804612,4.000000,H87,PIEZAS,CHEETOS BOLI,10.000000,40.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
239,212,50192100,000750047803494,2.000000,H87,PIEZAS,PALOMITAS D,10.000000,20.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
240,212,50192100,000750047804529,2.000000,H87,PIEZAS,PAKETAXO,10.000000,20.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
241,212,90101500,000750179167025,1.000000,H87,PIEZAS,JAMAICA,31.000000,31.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
