id,cfdi_comprobante_impuestos_id,impuesto,tipo_factor,tasa_o_cuota,base,importe,created_at,updated_at
143,142,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
144,143,002,Tasa,0.160000,13799.500000,2207.920000,2026-01-15 20:59:52,2026-01-15 20:59:52
145,144,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
146,145,002,Tasa,0.160000,3349.000000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
147,146,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
148,147,002,Tasa,0.160000,1999.000000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
149,148,002,Tasa,0.160000,22798.000000,3647.680000,2026-01-15 20:59:52,2026-01-15 20:59:52
150,149,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
151,150,002,Tasa,0.160000,1043.330000,166.930000,2026-01-15 20:59:52,2026-01-15 20:59:52
152,151,002,Tasa,0.160000,1999.000000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
153,152,002,Tasa,0.160000,567.240000,90.760000,2026-01-15 20:59:52,2026-01-15 20:59:52
154,153,002,Tasa,0.160000,1248.280000,199.720000,2026-01-15 20:59:52,2026-01-15 20:59:52
155,154,002,Tasa,0.160000,6211.210000,993.790000,2026-01-15 20:59:52,2026-01-15 20:59:52
156,155,002,Tasa,0.160000,676.720000,108.280000,2026-01-15 20:59:52,2026-01-15 20:59:52
157,156,002,Tasa,0.160000,1169.000000,187.040000,2026-01-15 20:59:52,2026-01-15 20:59:52
158,157,002,Tasa,0.160000,3899.000000,623.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
159,158,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
160,159,002,Tasa,0.160000,2799.000000,447.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
161,160,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
162,161,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
163,162,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
164,163,002,Tasa,0.160000,2628.000000,420.480000,2026-01-15 20:59:52,2026-01-15 20:59:52
165,164,002,Tasa,0.160000,8100.000000,1296.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
166,165,002,Tasa,0.160000,41710.000000,6673.600000,2026-01-15 20:59:52,2026-01-15 20:59:52
167,166,002,Tasa,0.160000,3349.000000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
168,167,002,Tasa,0.160000,2799.000000,447.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
169,168,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
170,169,002,Tasa,0.160000,745.400000,119.260000,2026-01-15 20:59:52,2026-01-15 20:59:52
171,170,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
172,171,002,Tasa,0.160000,1999.000000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
173,172,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
174,173,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:53,2026-01-15 20:59:53
175,174,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:53,2026-01-15 20:59:53
176,175,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:53,2026-01-15 20:59:53
177,176,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:53,2026-01-15 20:59:53
178,177,002,Tasa,0.160000,63758.070000,10201.290000,2026-01-15 20:59:53,2026-01-15 20:59:53
179,178,002,Tasa,0.160000,5239.000000,838.240000,2026-01-15 20:59:53,2026-01-15 20:59:53
180,179,002,Tasa,0.160000,5157.000000,825.120000,2026-01-15 20:59:53,2026-01-15 20:59:53
