id,cfdi_concepto_id,created_at,updated_at
133,180,2026-01-15 20:59:52,2026-01-15 20:59:52
134,181,2026-01-15 20:59:52,2026-01-15 20:59:52
135,182,2026-01-15 20:59:52,2026-01-15 20:59:52
136,183,2026-01-15 20:59:52,2026-01-15 20:59:52
137,184,2026-01-15 20:59:52,2026-01-15 20:59:52
138,185,2026-01-15 20:59:52,2026-01-15 20:59:52
139,186,2026-01-15 20:59:52,2026-01-15 20:59:52
140,199,2026-01-15 20:59:52,2026-01-15 20:59:52
141,212,2026-01-15 20:59:52,2026-01-15 20:59:52
142,214,2026-01-15 20:59:52,2026-01-15 20:59:52
143,216,2026-01-15 20:59:52,2026-01-15 20:59:52
144,217,2026-01-15 20:59:52,2026-01-15 20:59:52
145,218,2026-01-15 20:59:52,2026-01-15 20:59:52
146,219,2026-01-15 20:59:52,2026-01-15 20:59:52
147,220,2026-01-15 20:59:52,2026-01-15 20:59:52
148,221,2026-01-15 20:59:52,2026-01-15 20:59:52
149,222,2026-01-15 20:59:52,2026-01-15 20:59:52
150,223,2026-01-15 20:59:52,2026-01-15 20:59:52
151,224,2026-01-15 20:59:52,2026-01-15 20:59:52
152,225,2026-01-15 20:59:52,2026-01-15 20:59:52
153,226,2026-01-15 20:59:52,2026-01-15 20:59:52
154,227,2026-01-15 20:59:52,2026-01-15 20:59:52
155,228,2026-01-15 20:59:52,2026-01-15 20:59:52
156,229,2026-01-15 20:59:52,2026-01-15 20:59:52
157,230,2026-01-15 20:59:52,2026-01-15 20:59:52
158,231,2026-01-15 20:59:52,2026-01-15 20:59:52
159,232,2026-01-15 20:59:52,2026-01-15 20:59:52
160,233,2026-01-15 20:59:52,2026-01-15 20:59:52
161,234,2026-01-15 20:59:52,2026-01-15 20:59:52
162,235,2026-01-15 20:59:52,2026-01-15 20:59:52
163,236,2026-01-15 20:59:52,2026-01-15 20:59:52
164,237,2026-01-15 20:59:52,2026-01-15 20:59:52
165,238,2026-01-15 20:59:52,2026-01-15 20:59:52
166,239,2026-01-15 20:59:52,2026-01-15 20:59:52
167,240,2026-01-15 20:59:52,2026-01-15 20:59:52
168,241,2026-01-15 20:59:52,2026-01-15 20:59:52
169,242,2026-01-15 20:59:52,2026-01-15 20:59:52
170,243,2026-01-15 20:59:52,2026-01-15 20:59:52
171,244,2026-01-15 20:59:52,2026-01-15 20:59:52
172,245,2026-01-15 20:59:52,2026-01-15 20:59:52
173,246,2026-01-15 20:59:52,2026-01-15 20:59:52
174,247,2026-01-15 20:59:52,2026-01-15 20:59:52
175,248,2026-01-15 20:59:52,2026-01-15 20:59:52
176,249,2026-01-15 20:59:52,2026-01-15 20:59:52
177,250,2026-01-15 20:59:52,2026-01-15 20:59:52
178,251,2026-01-15 20:59:52,2026-01-15 20:59:52
179,253,2026-01-15 20:59:52,2026-01-15 20:59:52
180,254,2026-01-15 20:59:52,2026-01-15 20:59:52
181,255,2026-01-15 20:59:52,2026-01-15 20:59:52
182,256,2026-01-15 20:59:52,2026-01-15 20:59:52
183,257,2026-01-15 20:59:52,2026-01-15 20:59:52
184,260,2026-01-15 20:59:52,2026-01-15 20:59:52
185,261,2026-01-15 20:59:52,2026-01-15 20:59:52
186,263,2026-01-15 20:59:52,2026-01-15 20:59:52
187,264,2026-01-15 20:59:52,2026-01-15 20:59:52
188,265,2026-01-15 20:59:52,2026-01-15 20:59:52
189,266,2026-01-15 20:59:52,2026-01-15 20:59:52
190,267,2026-01-15 20:59:52,2026-01-15 20:59:52
191,268,2026-01-15 20:59:52,2026-01-15 20:59:52
192,269,2026-01-15 20:59:52,2026-01-15 20:59:52
193,270,2026-01-15 20:59:52,2026-01-15 20:59:52
194,271,2026-01-15 20:59:52,2026-01-15 20:59:52
195,273,2026-01-15 20:59:52,2026-01-15 20:59:52
196,274,2026-01-15 20:59:52,2026-01-15 20:59:52
197,275,2026-01-15 20:59:52,2026-01-15 20:59:52
198,276,2026-01-15 20:59:52,2026-01-15 20:59:52
199,277,2026-01-15 20:59:52,2026-01-15 20:59:52
200,278,2026-01-15 20:59:52,2026-01-15 20:59:52
201,279,2026-01-15 20:59:52,2026-01-15 20:59:52
202,280,2026-01-15 20:59:52,2026-01-15 20:59:52
203,281,2026-01-15 20:59:52,2026-01-15 20:59:52
204,283,2026-01-15 20:59:52,2026-01-15 20:59:52
205,284,2026-01-15 20:59:52,2026-01-15 20:59:52
206,285,2026-01-15 20:59:52,2026-01-15 20:59:52
207,286,2026-01-15 20:59:52,2026-01-15 20:59:52
208,287,2026-01-15 20:59:52,2026-01-15 20:59:52
209,288,2026-01-15 20:59:52,2026-01-15 20:59:52
210,289,2026-01-15 20:59:52,2026-01-15 20:59:52
211,290,2026-01-15 20:59:52,2026-01-15 20:59:52
212,291,2026-01-15 20:59:52,2026-01-15 20:59:52
213,292,2026-01-15 20:59:52,2026-01-15 20:59:52
214,293,2026-01-15 20:59:52,2026-01-15 20:59:52
215,294,2026-01-15 20:59:52,2026-01-15 20:59:52
216,295,2026-01-15 20:59:52,2026-01-15 20:59:52
217,296,2026-01-15 20:59:52,2026-01-15 20:59:52
218,297,2026-01-15 20:59:52,2026-01-15 20:59:52
219,298,2026-01-15 20:59:52,2026-01-15 20:59:52
220,299,2026-01-15 20:59:52,2026-01-15 20:59:52
221,300,2026-01-15 20:59:52,2026-01-15 20:59:52
222,301,2026-01-15 20:59:52,2026-01-15 20:59:52
223,302,2026-01-15 20:59:53,2026-01-15 20:59:53
224,303,2026-01-15 20:59:53,2026-01-15 20:59:53
225,304,2026-01-15 20:59:53,2026-01-15 20:59:53
226,306,2026-01-15 20:59:53,2026-01-15 20:59:53
227,308,2026-01-15 20:59:53,2026-01-15 20:59:53
228,309,2026-01-15 20:59:53,2026-01-15 20:59:53
229,310,2026-01-15 20:59:53,2026-01-15 20:59:53
230,311,2026-01-15 20:59:53,2026-01-15 20:59:53
231,312,2026-01-15 20:59:53,2026-01-15 20:59:53
