id,cfdi_concepto_impuestos_id,base,impuesto,tipo_factor,tasa_o_cuota,importe,created_at,updated_at
110,110,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
111,111,4499.000000,002,Tasa,0.160000,719.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
112,112,4499.000000,002,Tasa,0.160000,719.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
113,113,5239.000000,002,Tasa,0.160000,838.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
114,114,2399.000000,002,Tasa,0.160000,383.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
115,115,17599.000000,002,Tasa,0.160000,2815.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
116,116,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
117,117,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
118,118,529.000000,002,Tasa,0.160000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
119,119,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
120,120,3899.000000,002,Tasa,0.160000,623.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
121,121,529.000000,002,Tasa,0.160000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
122,122,768.000000,002,Tasa,0.160000,122.880000,2026-01-15 20:59:52,2026-01-15 20:59:52
123,123,529.000000,002,Tasa,0.160000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
124,124,173.400000,002,Tasa,0.160000,27.744000,2026-01-15 20:59:52,2026-01-15 20:59:52
125,125,1189.000000,002,Tasa,0.160000,190.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
126,126,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
127,127,279.000000,002,Tasa,0.160000,44.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
128,128,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
129,129,4631.900000,002,Tasa,0.160000,741.104000,2026-01-15 20:59:52,2026-01-15 20:59:52
130,130,27599.000000,002,Tasa,0.160000,4415.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
131,131,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
132,132,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
133,133,3349.000000,002,Tasa,0.160000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
134,134,768.000000,002,Tasa,0.160000,122.880000,2026-01-15 20:59:52,2026-01-15 20:59:52
135,135,17999.000000,002,Tasa,0.160000,2879.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
136,136,17999.000000,002,Tasa,0.160000,2879.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
137,137,7196.000000,002,Tasa,0.160000,1151.360000,2026-01-15 20:59:52,2026-01-15 20:59:52
138,138,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
139,139,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
140,140,1.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
141,141,4093.950000,002,Tasa,0.160000,655.032000,2026-01-15 20:59:52,2026-01-15 20:59:52
142,142,2399.000000,002,Tasa,0.160000,383.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
143,143,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
144,144,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
145,145,3899.000000,002,Tasa,0.160000,623.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
146,146,94788.210000,002,Tasa,0.160000,15166.113600,2026-01-15 20:59:52,2026-01-15 20:59:52
147,147,408000.000000,002,Tasa,0.160000,65280.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
148,148,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
149,149,31.896552,002,Tasa,0.160000,5.103448,2026-01-15 20:59:52,2026-01-15 20:59:52
150,150,50.862069,002,Tasa,0.160000,8.137931,2026-01-15 20:59:52,2026-01-15 20:59:52
